구매_ID,구매_날짜,구매자_ID,구매_수량,각인_서비스,결제_방식,총_결제_금액,상품_ID,카테고리,상품이름
2021-02-11-0188-1,2021-02-11,188,72,F,신용카드,864000,2,1,드로잉 펜 6종세트
2021-02-11-0008-1,2021-02-11,8,2,F,신용카드,120000,13,4,만년필
2021-02-12-0234-1,2021-02-12,234,60,T,신용카드,1620000,6,2,가죽 필통
2021-02-12-0321-1,2021-02-12,321,75,T,신용카드,112500,7,3,양장노트
2021-02-12-0138-1,2021-02-12,138,3,F,신용카드,105000,10,3,잠금장치 노트
2021-02-12-0305-1,2021-02-12,305,95,F,신용카드,2375000,5,2,가죽 필통
2021-02-12-0337-1,2021-02-12,337,3,T,카카오페이,240000,11,3,실험 일지 세트
2021-02-12-0092-1,2021-02-12,92,37,T,신용카드,185000,4,1,연필 세트
2021-02-13-0023-1,2021-02-13,23,62,F,계좌이체,744000,2,1,드로잉 펜 6종세트
2021-02-13-0327-1,2021-02-13,327,5,F,계좌이체,225000,18,4,깃펜 세트
2021-02-13-0244-1,2021-02-13,244,66,F,카카오페이,792000,2,1,드로잉 펜 6종세트
2021-02-13-0285-1,2021-02-13,285,12,F,카카오페이,900000,14,4,만년필
2021-02-13-0237-1,2021-02-13,237,34,F,계좌이체,170000,1,1,색연필 세트
2021-02-14-0252-1,2021-02-14,252,19,F,계좌이체,855000,18,4,깃펜 세트
2021-02-14-0303-1,2021-02-14,303,58,T,신용카드,1566000,6,2,가죽 필통
2021-02-14-0272-1,2021-02-14,272,37,F,계좌이체,203500,12,3,리필 종이
2021-02-15-0152-1,2021-02-15,152,18,T,신용카드,90000,4,1,연필 세트
2021-02-15-0206-1,2021-02-15,206,30,F,신용카드,165000,12,3,리필 종이
2021-02-15-0034-1,2021-02-15,34,89,F,신용카드,2225000,5,2,가죽 필통
2021-02-16-0286-1,2021-02-16,286,88,T,신용카드,440000,1,1,색연필 세트
2021-02-16-0294-1,2021-02-16,294,62,F,계좌이체,744000,2,1,드로잉 펜 6종세트
2021-02-16-0254-1,2021-02-16,254,94,T,계좌이체,2068000,9,3,잠금장치 노트
2021-02-18-0295-1,2021-02-18,295,10,F,계좌이체,270000,6,2,가죽 필통
2021-02-18-0151-1,2021-02-18,151,20,F,신용카드,1600000,11,3,실험 일지 세트
2021-02-18-0251-1,2021-02-18,251,85,F,계좌이체,850000,8,3,다이어리
2021-02-18-0109-1,2021-02-18,109,81,F,신용카드,1377000,3,1,드로잉 펜 8종 세트
2021-02-18-0126-1,2021-02-18,126,38,F,카카오페이,152000,17,4,지우개 세트
2021-02-19-0195-1,2021-02-19,195,79,F,신용카드,1975000,5,2,가죽 필통
2021-02-19-0269-1,2021-02-19,269,6,F,신용카드,270000,18,4,깃펜 세트
2021-02-19-0317-1,2021-02-19,317,11,T,신용카드,385000,10,3,잠금장치 노트
2021-02-19-0331-1,2021-02-19,331,59,F,신용카드,29500,16,4,연필
2021-02-19-0260-1,2021-02-19,260,91,F,신용카드,1092000,2,1,드로잉 펜 6종세트
2021-02-19-0174-1,2021-02-19,174,84,F,신용카드,1848000,9,3,잠금장치 노트
2021-02-20-0240-1,2021-02-20,240,70,F,신용카드,1750000,5,2,가죽 필통
2021-02-20-0065-1,2021-02-20,65,22,T,신용카드,33000,7,3,양장노트
2021-02-20-0327-1,2021-02-20,327,76,F,카카오페이,912000,2,1,드로잉 펜 6종세트
2021-02-21-0080-1,2021-02-21,80,84,T,신용카드,420000,4,1,연필 세트
2021-02-22-0136-1,2021-02-22,136,23,T,신용카드,1380000,13,4,만년필
2021-02-22-0165-1,2021-02-22,165,81,F,신용카드,1377000,3,1,드로잉 펜 8종 세트
2021-02-22-0165-2,2021-02-22,165,21,T,신용카드,31500,7,3,양장노트
2021-02-22-0059-1,2021-02-22,59,84,T,계좌이체,420000,4,1,연필 세트
2021-02-22-0170-1,2021-02-22,170,12,F,계좌이체,600000,15,4,탄생석 펜
2021-02-22-0185-1,2021-02-22,185,46,T,신용카드,460000,8,3,다이어리
2021-02-22-0190-1,2021-02-22,190,56,T,계좌이체,84000,7,3,양장노트
2021-02-23-0133-1,2021-02-23,133,9,F,카카오페이,405000,18,4,깃펜 세트
2021-02-23-0269-1,2021-02-23,269,24,T,신용카드,1920000,11,3,실험 일지 세트
2021-02-24-0122-1,2021-02-24,122,5,F,신용카드,225000,18,4,깃펜 세트
2021-02-24-0099-1,2021-02-24,99,57,F,신용카드,1539000,6,2,가죽 필통
2021-02-24-0105-1,2021-02-24,105,75,F,계좌이체,1275000,3,1,드로잉 펜 8종 세트
2021-02-25-0121-1,2021-02-25,121,5,T,계좌이체,225000,18,4,깃펜 세트
2021-02-25-0311-1,2021-02-25,311,59,F,신용카드,236000,17,4,지우개 세트
2021-02-25-0099-1,2021-02-25,99,83,T,계좌이체,415000,1,1,색연필 세트
2021-02-25-0222-1,2021-02-25,222,13,T,계좌이체,65000,1,1,색연필 세트
2021-02-26-0103-1,2021-02-26,103,72,F,계좌이체,288000,17,4,지우개 세트
2021-02-26-0162-1,2021-02-26,162,15,F,계좌이체,900000,13,4,만년필
2021-02-26-0025-1,2021-02-26,25,57,F,신용카드,684000,2,1,드로잉 펜 6종세트
2021-02-27-0334-1,2021-02-27,334,20,T,신용카드,700000,10,3,잠금장치 노트
2021-02-27-0243-1,2021-02-27,243,91,T,계좌이체,455000,4,1,연필 세트
2021-02-27-0122-1,2021-02-27,122,64,F,신용카드,256000,17,4,지우개 세트
2021-02-27-0113-1,2021-02-27,113,24,F,신용카드,1200000,15,4,탄생석 펜
2021-02-27-0099-1,2021-02-27,99,16,F,계좌이체,192000,2,1,드로잉 펜 6종세트
2021-02-27-0141-1,2021-02-27,141,92,F,계좌이체,138000,7,3,양장노트
2021-02-28-0010-1,2021-02-28,10,10,T,계좌이체,600000,13,4,만년필
2021-03-01-0289-1,2021-03-01,289,5,F,신용카드,85000,3,1,드로잉 펜 8종 세트
2021-03-03-0254-1,2021-03-03,254,59,F,계좌이체,236000,17,4,지우개 세트
2021-03-03-0326-1,2021-03-03,326,83,F,계좌이체,41500,16,4,연필
2021-03-03-0163-1,2021-03-03,163,58,F,신용카드,29000,16,4,연필
2021-03-04-0216-1,2021-03-04,216,85,F,계좌이체,1020000,2,1,드로잉 펜 6종세트
2021-03-04-0341-1,2021-03-04,341,22,T,신용카드,1100000,15,4,탄생석 펜
2021-03-04-0341-2,2021-03-04,341,17,T,신용카드,765000,18,4,깃펜 세트
2021-03-05-0313-1,2021-03-05,313,77,F,계좌이체,38500,16,4,연필
2021-03-05-0177-1,2021-03-05,177,33,F,계좌이체,165000,1,1,색연필 세트
2021-03-05-0289-1,2021-03-05,289,94,F,신용카드,1128000,2,1,드로잉 펜 6종세트
2021-03-05-0063-1,2021-03-05,63,96,T,계좌이체,480000,1,1,색연필 세트
2021-03-05-0117-1,2021-03-05,117,34,F,계좌이체,170000,1,1,색연필 세트
2021-03-05-0332-1,2021-03-05,332,23,F,계좌이체,34500,7,3,양장노트
2021-03-06-0212-1,2021-03-06,212,20,T,신용카드,700000,10,3,잠금장치 노트
2021-03-06-0221-1,2021-03-06,221,30,T,신용카드,660000,9,3,잠금장치 노트
2021-03-06-0093-1,2021-03-06,93,78,T,신용카드,390000,1,1,색연필 세트
2021-03-06-0110-1,2021-03-06,110,83,T,카카오페이,415000,1,1,색연필 세트
2021-03-06-0301-1,2021-03-06,301,7,F,계좌이체,84000,2,1,드로잉 펜 6종세트
2021-03-06-0141-1,2021-03-06,141,23,T,신용카드,34500,7,3,양장노트
2021-03-07-0253-1,2021-03-07,253,69,T,신용카드,690000,8,3,다이어리
2021-03-07-0033-1,2021-03-07,33,96,F,신용카드,48000,16,4,연필
2021-03-07-0057-1,2021-03-07,57,18,F,신용카드,216000,2,1,드로잉 펜 6종세트
2021-03-07-0157-1,2021-03-07,157,68,F,신용카드,1700000,5,2,가죽 필통
2021-03-08-0143-1,2021-03-08,143,38,F,카카오페이,456000,2,1,드로잉 펜 6종세트
2021-03-08-0037-1,2021-03-08,37,43,T,신용카드,946000,9,3,잠금장치 노트
2021-03-08-0276-1,2021-03-08,276,15,F,카카오페이,750000,15,4,탄생석 펜
2021-03-09-0122-1,2021-03-09,122,40,F,신용카드,220000,12,3,리필 종이
2021-03-09-0201-1,2021-03-09,201,92,F,신용카드,368000,17,4,지우개 세트
2021-03-09-0114-1,2021-03-09,114,95,F,계좌이체,522500,12,3,리필 종이
2021-03-11-0175-1,2021-03-11,175,27,F,신용카드,108000,17,4,지우개 세트
2021-03-11-0208-1,2021-03-11,208,62,T,신용카드,1674000,6,2,가죽 필통
2021-03-11-0303-1,2021-03-11,303,5,T,계좌이체,400000,11,3,실험 일지 세트
2021-03-11-0129-1,2021-03-11,129,56,F,신용카드,280000,1,1,색연필 세트
2021-03-11-0012-1,2021-03-11,12,15,F,신용카드,675000,18,4,깃펜 세트
2021-03-11-0001-1,2021-03-11,1,20,F,계좌이체,500000,5,2,가죽 필통
2021-03-11-0117-1,2021-03-11,117,18,T,계좌이체,1440000,11,3,실험 일지 세트
2021-03-11-0352-1,2021-03-11,352,98,F,계좌이체,2450000,5,2,가죽 필통
2021-03-12-0119-1,2021-03-12,119,17,T,신용카드,1275000,14,4,만년필
2021-03-12-0044-1,2021-03-12,44,21,T,신용카드,1050000,15,4,탄생석 펜
2021-03-12-0250-1,2021-03-12,250,24,F,계좌이체,1200000,15,4,탄생석 펜
2021-03-13-0121-1,2021-03-13,121,5,T,신용카드,225000,18,4,깃펜 세트
2021-03-13-0116-1,2021-03-13,116,16,F,신용카드,560000,10,3,잠금장치 노트
2021-03-13-0185-1,2021-03-13,185,10,F,계좌이체,55000,12,3,리필 종이
2021-03-13-0163-1,2021-03-13,163,55,F,신용카드,1375000,5,2,가죽 필통
2021-03-13-0193-1,2021-03-13,193,45,F,신용카드,990000,9,3,잠금장치 노트
2021-03-13-0208-1,2021-03-13,208,37,F,신용카드,18500,16,4,연필
2021-03-13-0240-1,2021-03-13,240,24,F,신용카드,1440000,13,4,만년필
2021-03-13-0298-1,2021-03-13,298,9,T,신용카드,720000,11,3,실험 일지 세트
2021-03-14-0159-1,2021-03-14,159,59,F,계좌이체,324500,12,3,리필 종이
2021-03-15-0044-1,2021-03-15,44,33,F,계좌이체,181500,12,3,리필 종이
2021-03-15-0265-1,2021-03-15,265,45,F,계좌이체,540000,2,1,드로잉 펜 6종세트
2021-03-15-0291-1,2021-03-15,291,68,T,신용카드,1700000,5,2,가죽 필통
2021-03-15-0257-1,2021-03-15,257,12,T,계좌이체,960000,11,3,실험 일지 세트
2021-03-16-0283-1,2021-03-16,283,2,T,카카오페이,120000,13,4,만년필
2021-03-16-0226-1,2021-03-16,226,89,F,신용카드,2225000,5,2,가죽 필통
2021-03-16-0122-1,2021-03-16,122,99,F,신용카드,1683000,3,1,드로잉 펜 8종 세트
2021-03-16-0025-1,2021-03-16,25,70,T,신용카드,1890000,6,2,가죽 필통
2021-03-17-0007-1,2021-03-17,7,2,T,계좌이체,100000,15,4,탄생석 펜
2021-03-17-0132-1,2021-03-17,132,24,T,신용카드,1800000,14,4,만년필
2021-03-17-0314-1,2021-03-17,314,66,T,계좌이체,330000,1,1,색연필 세트
2021-03-18-0119-1,2021-03-18,119,32,F,신용카드,16000,16,4,연필
2021-03-19-0292-1,2021-03-19,292,7,F,계좌이체,245000,10,3,잠금장치 노트
2021-03-20-0316-1,2021-03-20,316,3,F,카카오페이,240000,11,3,실험 일지 세트
2021-03-21-0070-1,2021-03-21,70,40,F,신용카드,680000,3,1,드로잉 펜 8종 세트
2021-03-22-0115-1,2021-03-22,115,20,F,신용카드,240000,2,1,드로잉 펜 6종세트
2021-03-22-0217-1,2021-03-22,217,39,F,카카오페이,214500,12,3,리필 종이
2021-03-22-0316-1,2021-03-22,316,36,F,신용카드,54000,7,3,양장노트
2021-03-22-0339-1,2021-03-22,339,22,F,신용카드,770000,10,3,잠금장치 노트
2021-03-22-0078-1,2021-03-22,78,20,T,신용카드,440000,9,3,잠금장치 노트
2021-03-23-0320-1,2021-03-23,320,91,F,계좌이체,455000,1,1,색연필 세트
2021-03-23-0202-1,2021-03-23,202,2,T,카카오페이,100000,15,4,탄생석 펜
2021-03-23-0117-1,2021-03-23,117,17,T,신용카드,425000,5,2,가죽 필통
2021-03-24-0172-1,2021-03-24,172,92,F,카카오페이,1564000,3,1,드로잉 펜 8종 세트
2021-03-25-0324-1,2021-03-25,324,98,F,신용카드,392000,17,4,지우개 세트
2021-03-25-0172-1,2021-03-25,172,30,T,계좌이체,300000,8,3,다이어리
2021-03-25-0260-1,2021-03-25,260,37,F,신용카드,925000,5,2,가죽 필통
2021-03-25-0074-1,2021-03-25,74,10,F,카카오페이,800000,11,3,실험 일지 세트
2021-03-25-0024-1,2021-03-25,24,98,T,신용카드,490000,1,1,색연필 세트
2021-03-25-0095-1,2021-03-25,95,31,F,계좌이체,46500,7,3,양장노트
2021-03-25-0289-1,2021-03-25,289,66,F,계좌이체,264000,17,4,지우개 세트
2021-03-26-0351-1,2021-03-26,351,66,T,신용카드,330000,4,1,연필 세트
2021-03-27-0112-1,2021-03-27,112,39,T,계좌이체,195000,4,1,연필 세트
2021-03-27-0222-1,2021-03-27,222,70,T,신용카드,1750000,5,2,가죽 필통
2021-03-28-0190-1,2021-03-28,190,17,T,계좌이체,459000,6,2,가죽 필통
2021-03-28-0169-1,2021-03-28,169,93,F,신용카드,2046000,9,3,잠금장치 노트
2021-03-28-0209-1,2021-03-28,209,83,T,계좌이체,1826000,9,3,잠금장치 노트
2021-03-29-0253-1,2021-03-29,253,35,F,카카오페이,140000,17,4,지우개 세트
2021-03-29-0129-1,2021-03-29,129,2,F,신용카드,90000,18,4,깃펜 세트
2021-03-31-0339-1,2021-03-31,339,74,F,신용카드,1258000,3,1,드로잉 펜 8종 세트
2021-03-31-0338-1,2021-03-31,338,68,F,신용카드,1156000,3,1,드로잉 펜 8종 세트
2021-03-31-0042-1,2021-03-31,42,57,F,계좌이체,969000,3,1,드로잉 펜 8종 세트
2021-03-31-0277-1,2021-03-31,277,20,F,신용카드,240000,2,1,드로잉 펜 6종세트
2021-03-31-0055-1,2021-03-31,55,46,F,계좌이체,460000,8,3,다이어리
2021-04-01-0004-1,2021-04-01,4,57,T,신용카드,285000,4,1,연필 세트
2021-04-01-0049-1,2021-04-01,49,37,T,카카오페이,925000,5,2,가죽 필통
2021-04-02-0136-1,2021-04-02,136,89,F,계좌이체,356000,17,4,지우개 세트
2021-04-02-0195-1,2021-04-02,195,12,F,신용카드,144000,2,1,드로잉 펜 6종세트
2021-04-03-0021-1,2021-04-03,21,11,F,신용카드,44000,17,4,지우개 세트
2021-04-03-0052-1,2021-04-03,52,72,F,신용카드,1944000,6,2,가죽 필통
2021-04-04-0139-1,2021-04-04,139,2,T,신용카드,90000,18,4,깃펜 세트
2021-04-04-0005-1,2021-04-04,5,11,F,신용카드,385000,10,3,잠금장치 노트
2021-04-04-0182-1,2021-04-04,182,85,F,계좌이체,2125000,5,2,가죽 필통
2021-04-05-0094-1,2021-04-05,94,30,F,계좌이체,165000,12,3,리필 종이
2021-04-05-0103-1,2021-04-05,103,9,F,카카오페이,315000,10,3,잠금장치 노트
2021-04-05-0239-1,2021-04-05,239,5,T,계좌이체,375000,14,4,만년필
2021-04-05-0078-1,2021-04-05,78,39,F,신용카드,214500,12,3,리필 종이
2021-04-06-0078-1,2021-04-06,78,61,F,신용카드,305000,1,1,색연필 세트
2021-04-06-0323-1,2021-04-06,323,63,F,신용카드,1575000,5,2,가죽 필통
2021-04-06-0375-1,2021-04-06,375,6,F,신용카드,360000,13,4,만년필
2021-04-06-0128-1,2021-04-06,128,26,F,계좌이체,143000,12,3,리필 종이
2021-04-07-0275-1,2021-04-07,275,16,T,계좌이체,560000,10,3,잠금장치 노트
2021-04-07-0235-1,2021-04-07,235,65,T,신용카드,1625000,5,2,가죽 필통
2021-04-07-0043-1,2021-04-07,43,92,T,신용카드,2484000,6,2,가죽 필통
2021-04-08-0018-1,2021-04-08,18,18,T,계좌이체,630000,10,3,잠금장치 노트
2021-04-08-0170-1,2021-04-08,170,17,F,계좌이체,93500,12,3,리필 종이
2021-04-08-0220-1,2021-04-08,220,82,F,신용카드,984000,2,1,드로잉 펜 6종세트
2021-04-08-0208-1,2021-04-08,208,99,F,신용카드,396000,17,4,지우개 세트
2021-04-09-0152-1,2021-04-09,152,75,T,신용카드,2025000,6,2,가죽 필통
2021-04-09-0128-1,2021-04-09,128,47,T,신용카드,1175000,5,2,가죽 필통
2021-04-09-0023-1,2021-04-09,23,84,F,신용카드,1428000,3,1,드로잉 펜 8종 세트
2021-04-10-0181-1,2021-04-10,181,21,T,계좌이체,1050000,15,4,탄생석 펜
