구매_ID,구매_날짜,구매자_ID,상품_ID,구매_수량,각인_서비스,결제_방식, 총_결제_금액 
2021-01-24-0279-1,2021-01-24,0279,W1,20,T,신용카드," 1,200,000 "
2021-01-25-0146-1,2021-01-25,0146,S1,91,F,계좌이체," 136,500 "
2021-01-25-0279-1,2021-01-25,0279,A3,4,F,신용카드," 68,000 "
2021-01-25-0185-1,2021-01-25,0185,W1,15,F,계좌이체," 900,000 "
2021-01-26-0020-1,2021-01-26,0020,S1,86,F,계좌이체," 129,000 "
2021-01-26-0309-1,2021-01-26,0309,W4,23,F,신용카드," 11,500 "
2021-01-26-0197-1,2021-01-26,0197,C1,3,T,계좌이체," 75,000 "
2021-01-26-0122-1,2021-01-26,0122,A1,66,T,신용카드," 330,000 "
2021-01-26-0170-1,2021-01-26,0170,W3,23,F,카카오페이," 1,150,000 "
2021-01-27-0004-1,2021-01-27,0004,C1,10,T,계좌이체," 250,000 "
2021-01-27-0131-1,2021-01-27,0131,A4,63,F,계좌이체," 315,000 "
2021-01-27-0099-1,2021-01-27,0099,W1,4,T,신용카드," 240,000 "
2021-01-27-0063-1,2021-01-27,0063,W6,19,T,신용카드," 855,000 "
2021-01-27-0183-1,2021-01-27,0183,W1,15,T,계좌이체," 900,000 "
2021-01-27-0272-1,2021-01-27,0272,S1,45,T,신용카드," 67,500 "
2021-01-28-0227-1,2021-01-28,0227,W5,32,F,계좌이체," 128,000 "
2021-01-28-0216-1,2021-01-28,0216,S4,3,F,계좌이체," 105,000 "
2021-01-28-0105-1,2021-01-28,0105,C2,83,T,신용카드," 2,241,000 "
2021-01-29-0231-1,2021-01-29,0231,A2,67,F,신용카드," 804,000 "
2021-01-29-0231-2,2021-01-29,0231,W5,99,F,계좌이체," 396,000 "
2021-01-30-0073-1,2021-01-30,0073,S3,1,T,신용카드," 22,000 "
2021-01-30-0117-1,2021-01-30,0117,A1,89,T,계좌이체," 445,000 "
2021-01-31-0259-1,2021-01-31,0259,W5,73,F,카카오페이," 292,000 "
2021-01-31-0145-1,2021-01-31,0145,S6,35,F,계좌이체," 192,500 "
2021-01-31-0260-1,2021-01-31,0260,W3,11,F,카카오페이," 550,000 "
2021-02-01-0121-1,2021-02-01,0121,S2,76,T,카카오페이," 760,000 "
2021-02-01-0326-1,2021-02-01,0326,C1,52,T,계좌이체," 1,300,000 "
2021-02-01-0284-1,2021-02-01,0284,W6,6,T,카카오페이," 270,000 "
2021-02-01-0244-1,2021-02-01,0244,W5,47,F,계좌이체," 188,000 "
2021-02-02-0138-1,2021-02-02,0138,A1,67,T,신용카드," 335,000 "
2021-02-02-0068-1,2021-02-02,0068,W4,90,F,카카오페이," 45,000 "
2021-02-03-0259-1,2021-02-03,0259,C2,19,T,신용카드," 513,000 "
2021-02-03-0041-1,2021-02-03,0041,A3,88,F,신용카드," 1,496,000 "
2021-02-03-0131-1,2021-02-03,0131,S3,88,T,신용카드," 1,936,000 "
2021-02-04-0124-1,2021-02-04,0124,A2,42,F,신용카드," 504,000 "
2021-02-04-0201-1,2021-02-04,0201,W3,25,F,신용카드," 1,250,000 "
2021-02-04-0194-1,2021-02-04,0194,S1,16,F,계좌이체," 24,000 "
2021-02-05-0216-1,2021-02-05,0216,S3,29,F,계좌이체," 638,000 "
2021-02-05-0026-1,2021-02-05,0026,W3,21,F,신용카드," 1,050,000 "
2021-02-05-0144-1,2021-02-05,0144,W6,14,T,계좌이체," 630,000 "
2021-02-05-0168-1,2021-02-05,0168,S4,18,F,계좌이체," 630,000 "
2021-02-05-0165-1,2021-02-05,0165,W5,18,F,계좌이체," 72,000 "
2021-02-05-0203-1,2021-02-05,0203,S2,58,F,계좌이체," 580,000 "
2021-02-06-0009-1,2021-02-06,0009,W4,100,F,카카오페이," 50,000 "
2021-02-07-0023-1,2021-02-07,0023,W3,22,T,신용카드," 1,100,000 "
2021-02-07-0258-1,2021-02-07,0258,C2,56,T,신용카드," 1,512,000 "
2021-02-08-0180-1,2021-02-08,0180,S2,18,T,신용카드," 180,000 "
2021-02-08-0243-1,2021-02-08,0243,W6,24,T,카카오페이," 1,080,000 "
2021-02-09-0272-1,2021-02-09,0272,W3,8,F,계좌이체," 400,000 "
2021-02-09-0150-1,2021-02-09,0150,S4,4,F,계좌이체," 140,000 "
2021-02-10-0021-1,2021-02-10,0021,W2,15,F,신용카드," 1,125,000 "
2021-02-10-0162-1,2021-02-10,0162,W4,46,F,계좌이체," 23,000 "
2021-02-10-0248-1,2021-02-10,0248,W5,49,F,카카오페이," 196,000 "
2021-02-10-0201-1,2021-02-10,0201,W5,83,F,카카오페이," 332,000 "
2021-02-11-0072-1,2021-02-11,0072,W5,67,F,신용카드," 268,000 "
2021-02-11-0188-1,2021-02-11,0188,A2,72,F,신용카드," 864,000 "
2021-02-11-0008-1,2021-02-11,0008,W1,2,F,신용카드," 120,000 "
2021-02-12-0234-1,2021-02-12,0234,C2,60,T,신용카드," 1,620,000 "
2021-02-12-0321-1,2021-02-12,0321,S1,75,T,신용카드," 112,500 "
2021-02-12-0138-1,2021-02-12,0138,S4,3,F,신용카드," 105,000 "
2021-02-12-0305-1,2021-02-12,0305,C1,95,F,신용카드," 2,375,000 "
2021-02-12-0337-1,2021-02-12,0337,S5,3,T,카카오페이," 240,000 "
2021-02-12-0092-1,2021-02-12,0092,A4,37,T,신용카드," 185,000 "
2021-02-13-0023-1,2021-02-13,0023,A2,62,F,계좌이체," 744,000 "
2021-02-13-0327-1,2021-02-13,0327,W6,5,F,계좌이체," 225,000 "
2021-02-13-0244-1,2021-02-13,0244,A2,66,F,카카오페이," 792,000 "
2021-02-13-0285-1,2021-02-13,0285,W2,12,F,카카오페이," 900,000 "
2021-02-13-0237-1,2021-02-13,0237,A1,34,F,계좌이체," 170,000 "
2021-02-14-0252-1,2021-02-14,0252,W6,19,F,계좌이체," 855,000 "
2021-02-14-0303-1,2021-02-14,0303,C2,58,T,신용카드," 1,566,000 "
2021-02-14-0272-1,2021-02-14,0272,S6,37,F,계좌이체," 203,500 "
2021-02-15-0152-1,2021-02-15,0152,A4,18,T,신용카드," 90,000 "
2021-02-15-0206-1,2021-02-15,0206,S6,30,F,신용카드," 165,000 "
2021-02-15-0034-1,2021-02-15,0034,C1,89,F,신용카드," 2,225,000 "
2021-02-16-0286-1,2021-02-16,0286,A1,88,T,신용카드," 440,000 "
2021-02-16-0294-1,2021-02-16,0294,A2,62,F,계좌이체," 744,000 "
2021-02-16-0254-1,2021-02-16,0254,S3,94,T,계좌이체," 2,068,000 "
2021-02-18-0295-1,2021-02-18,0295,C2,10,F,계좌이체," 270,000 "
2021-02-18-0151-1,2021-02-18,0151,S5,20,F,신용카드," 1,600,000 "
2021-02-18-0251-1,2021-02-18,0251,S2,85,F,계좌이체," 850,000 "
2021-02-18-0109-1,2021-02-18,0109,A3,81,F,신용카드," 1,377,000 "
2021-02-18-0126-1,2021-02-18,0126,W5,38,F,카카오페이," 152,000 "
2021-02-19-0195-1,2021-02-19,0195,C1,79,F,신용카드," 1,975,000 "
2021-02-19-0269-1,2021-02-19,0269,W6,6,F,신용카드," 270,000 "
2021-02-19-0317-1,2021-02-19,0317,S4,11,T,신용카드," 385,000 "
2021-02-19-0331-1,2021-02-19,0331,W4,59,F,신용카드," 29,500 "
2021-02-19-0260-1,2021-02-19,0260,A2,91,F,신용카드," 1,092,000 "
2021-02-19-0174-1,2021-02-19,0174,S3,84,F,신용카드," 1,848,000 "
2021-02-20-0240-1,2021-02-20,0240,C1,70,F,신용카드," 1,750,000 "
2021-02-20-0065-1,2021-02-20,0065,S1,22,T,신용카드," 33,000 "
2021-02-20-0327-1,2021-02-20,0327,A2,76,F,카카오페이," 912,000 "
2021-02-21-0080-1,2021-02-21,0080,A4,84,T,신용카드," 420,000 "
2021-02-22-0136-1,2021-02-22,0136,W1,23,T,신용카드," 1,380,000 "
2021-02-22-0165-1,2021-02-22,0165,A3,81,F,신용카드," 1,377,000 "
2021-02-22-0165-2,2021-02-22,0165,S1,21,T,신용카드," 31,500 "
2021-02-22-0059-1,2021-02-22,0059,A4,84,T,계좌이체," 420,000 "
2021-02-22-0170-1,2021-02-22,0170,W3,12,F,계좌이체," 600,000 "
2021-02-22-0185-1,2021-02-22,0185,S2,46,T,신용카드," 460,000 "
2021-02-22-0190-1,2021-02-22,0190,S1,56,T,계좌이체," 84,000 "
2021-02-23-0133-1,2021-02-23,0133,W6,9,F,카카오페이," 405,000 "
2021-02-23-0269-1,2021-02-23,0269,S5,24,T,신용카드," 1,920,000 "
2021-02-24-0122-1,2021-02-24,0122,W6,5,F,신용카드," 225,000 "
2021-02-24-0099-1,2021-02-24,0099,C2,57,F,신용카드," 1,539,000 "
2021-02-24-0105-1,2021-02-24,0105,A3,75,F,계좌이체," 1,275,000 "
2021-02-25-0121-1,2021-02-25,0121,W6,5,T,계좌이체," 225,000 "
2021-02-25-0311-1,2021-02-25,0311,W5,59,F,신용카드," 236,000 "
2021-02-25-0099-1,2021-02-25,0099,A1,83,T,계좌이체," 415,000 "
2021-02-25-0222-1,2021-02-25,0222,A1,13,T,계좌이체," 65,000 "
2021-02-26-0103-1,2021-02-26,0103,W5,72,F,계좌이체," 288,000 "
2021-02-26-0162-1,2021-02-26,0162,W1,15,F,계좌이체," 900,000 "
2021-02-26-0025-1,2021-02-26,0025,A2,57,F,신용카드," 684,000 "
2021-02-27-0334-1,2021-02-27,0334,S4,20,T,신용카드," 700,000 "
2021-02-27-0243-1,2021-02-27,0243,A4,91,T,계좌이체," 455,000 "
2021-02-27-0122-1,2021-02-27,0122,W5,64,F,신용카드," 256,000 "
2021-02-27-0113-1,2021-02-27,0113,W3,24,F,신용카드," 1,200,000 "
2021-02-27-0099-1,2021-02-27,0099,A2,16,F,계좌이체," 192,000 "
2021-02-27-0141-1,2021-02-27,0141,S1,92,F,계좌이체," 138,000 "
2021-02-28-0010-1,2021-02-28,0010,W1,10,T,계좌이체," 600,000 "
2021-03-01-0289-1,2021-03-01,0289,A3,5,F,신용카드," 85,000 "
2021-03-03-0254-1,2021-03-03,0254,W5,59,F,계좌이체," 236,000 "
2021-03-03-0326-1,2021-03-03,0326,W4,83,F,계좌이체," 41,500 "
2021-03-03-0163-1,2021-03-03,0163,W4,58,F,신용카드," 29,000 "
2021-03-04-0216-1,2021-03-04,0216,A2,85,F,계좌이체," 1,020,000 "
2021-03-04-0341-1,2021-03-04,0341,W3,22,T,신용카드," 1,100,000 "
2021-03-04-0341-2,2021-03-04,0341,W6,17,T,신용카드," 765,000 "
2021-03-05-0313-1,2021-03-05,0313,W4,77,F,계좌이체," 38,500 "
2021-03-05-0177-1,2021-03-05,0177,A1,33,F,계좌이체," 165,000 "
2021-03-05-0289-1,2021-03-05,0289,A2,94,F,신용카드," 1,128,000 "
2021-03-05-0063-1,2021-03-05,0063,A1,96,T,계좌이체," 480,000 "
2021-03-05-0117-1,2021-03-05,0117,A1,34,F,계좌이체," 170,000 "
2021-03-05-0332-1,2021-03-05,0332,S1,23,F,계좌이체," 34,500 "
2021-03-06-0212-1,2021-03-06,0212,S4,20,T,신용카드," 700,000 "
2021-03-06-0221-1,2021-03-06,0221,S3,30,T,신용카드," 660,000 "
2021-03-06-0093-1,2021-03-06,0093,A1,78,T,신용카드," 390,000 "
2021-03-06-0110-1,2021-03-06,0110,A1,83,T,카카오페이," 415,000 "
2021-03-06-0301-1,2021-03-06,0301,A2,7,F,계좌이체," 84,000 "
2021-03-06-0141-1,2021-03-06,0141,S1,23,T,신용카드," 34,500 "
2021-03-07-0253-1,2021-03-07,0253,S2,69,T,신용카드," 690,000 "
2021-03-07-0033-1,2021-03-07,0033,W4,96,F,신용카드," 48,000 "
2021-03-07-0057-1,2021-03-07,0057,A2,18,F,신용카드," 216,000 "
2021-03-07-0157-1,2021-03-07,0157,C1,68,F,신용카드," 1,700,000 "
2021-03-08-0143-1,2021-03-08,0143,A2,38,F,카카오페이," 456,000 "
2021-03-08-0037-1,2021-03-08,0037,S3,43,T,신용카드," 946,000 "
2021-03-08-0276-1,2021-03-08,0276,W3,15,F,카카오페이," 750,000 "
2021-03-09-0122-1,2021-03-09,0122,S6,40,F,신용카드," 220,000 "
2021-03-09-0201-1,2021-03-09,0201,W5,92,F,신용카드," 368,000 "
2021-03-09-0114-1,2021-03-09,0114,S6,95,F,계좌이체," 522,500 "
2021-03-11-0175-1,2021-03-11,0175,W5,27,F,신용카드," 108,000 "
2021-03-11-0208-1,2021-03-11,0208,C2,62,T,신용카드," 1,674,000 "
2021-03-11-0303-1,2021-03-11,0303,S5,5,T,계좌이체," 400,000 "
2021-03-11-0129-1,2021-03-11,0129,A1,56,F,신용카드," 280,000 "
2021-03-11-0012-1,2021-03-11,0012,W6,15,F,신용카드," 675,000 "
2021-03-11-0001-1,2021-03-11,0001,C1,20,F,계좌이체," 500,000 "
2021-03-11-0117-1,2021-03-11,0117,S5,18,T,계좌이체," 1,440,000 "
2021-03-11-0352-1,2021-03-11,0352,C1,98,F,계좌이체," 2,450,000 "
2021-03-12-0119-1,2021-03-12,0119,W2,17,T,신용카드," 1,275,000 "
2021-03-12-0044-1,2021-03-12,0044,W3,21,T,신용카드," 1,050,000 "
2021-03-12-0250-1,2021-03-12,0250,W3,24,F,계좌이체," 1,200,000 "
2021-03-13-0121-1,2021-03-13,0121,W6,5,T,신용카드," 225,000 "
2021-03-13-0116-1,2021-03-13,0116,S4,16,F,신용카드," 560,000 "
2021-03-13-0185-1,2021-03-13,0185,S6,10,F,계좌이체," 55,000 "
2021-03-13-0163-1,2021-03-13,0163,C1,55,F,신용카드," 1,375,000 "
2021-03-13-0193-1,2021-03-13,0193,S3,45,F,신용카드," 990,000 "
2021-03-13-0208-1,2021-03-13,0208,W4,37,F,신용카드," 18,500 "
2021-03-13-0240-1,2021-03-13,0240,W1,24,F,신용카드," 1,440,000 "
2021-03-13-0298-1,2021-03-13,0298,S5,9,T,신용카드," 720,000 "
2021-03-14-0159-1,2021-03-14,0159,S6,59,F,계좌이체," 324,500 "
2021-03-15-0044-1,2021-03-15,0044,S6,33,F,계좌이체," 181,500 "
2021-03-15-0265-1,2021-03-15,0265,A2,45,F,계좌이체," 540,000 "
2021-03-15-0291-1,2021-03-15,0291,C1,68,T,신용카드," 1,700,000 "
2021-03-15-0257-1,2021-03-15,0257,S5,12,T,계좌이체," 960,000 "
2021-03-16-0283-1,2021-03-16,0283,W1,2,T,카카오페이," 120,000 "
2021-03-16-0226-1,2021-03-16,0226,C1,89,F,신용카드," 2,225,000 "
2021-03-16-0122-1,2021-03-16,0122,A3,99,F,신용카드," 1,683,000 "
2021-03-16-0025-1,2021-03-16,0025,C2,70,T,신용카드," 1,890,000 "
2021-03-17-0007-1,2021-03-17,0007,W3,2,T,계좌이체," 100,000 "
2021-03-17-0132-1,2021-03-17,0132,W2,24,T,신용카드," 1,800,000 "
2021-03-17-0314-1,2021-03-17,0314,A1,66,T,계좌이체," 330,000 "
2021-03-18-0119-1,2021-03-18,0119,W4,32,F,신용카드," 16,000 "
2021-03-19-0292-1,2021-03-19,0292,S4,7,F,계좌이체," 245,000 "
2021-03-20-0316-1,2021-03-20,0316,S5,3,F,카카오페이," 240,000 "
2021-03-21-0070-1,2021-03-21,0070,A3,40,F,신용카드," 680,000 "
2021-03-22-0115-1,2021-03-22,0115,A2,20,F,신용카드," 240,000 "
2021-03-22-0217-1,2021-03-22,0217,S6,39,F,카카오페이," 214,500 "
2021-03-22-0316-1,2021-03-22,0316,S1,36,F,신용카드," 54,000 "
2021-03-22-0339-1,2021-03-22,0339,S4,22,F,신용카드," 770,000 "
2021-03-22-0078-1,2021-03-22,0078,S3,20,T,신용카드," 440,000 "
2021-03-23-0320-1,2021-03-23,0320,A1,91,F,계좌이체," 455,000 "
2021-03-23-0202-1,2021-03-23,0202,W3,2,T,카카오페이," 100,000 "
2021-03-23-0117-1,2021-03-23,0117,C1,17,T,신용카드," 425,000 "
2021-03-24-0172-1,2021-03-24,0172,A3,92,F,카카오페이," 1,564,000 "
2021-03-25-0324-1,2021-03-25,0324,W5,98,F,신용카드," 392,000 "
2021-03-25-0172-1,2021-03-25,0172,S2,30,T,계좌이체," 300,000 "
2021-03-25-0260-1,2021-03-25,0260,C1,37,F,신용카드," 925,000 "
2021-03-25-0074-1,2021-03-25,0074,S5,10,F,카카오페이," 800,000 "
2021-03-25-0024-1,2021-03-25,0024,A1,98,T,신용카드," 490,000 "
2021-03-25-0095-1,2021-03-25,0095,S1,31,F,계좌이체," 46,500 "
2021-03-25-0289-1,2021-03-25,0289,W5,66,F,계좌이체," 264,000 "
2021-03-26-0351-1,2021-03-26,0351,A4,66,T,신용카드," 330,000 "
2021-03-27-0112-1,2021-03-27,0112,A4,39,T,계좌이체," 195,000 "
2021-03-27-0222-1,2021-03-27,0222,C1,70,T,신용카드," 1,750,000 "
2021-03-28-0190-1,2021-03-28,0190,C2,17,T,계좌이체," 459,000 "
2021-03-28-0169-1,2021-03-28,0169,S3,93,F,신용카드," 2,046,000 "
2021-03-28-0209-1,2021-03-28,0209,S3,83,T,계좌이체," 1,826,000 "
2021-03-29-0253-1,2021-03-29,0253,W5,35,F,카카오페이," 140,000 "
2021-03-29-0129-1,2021-03-29,0129,W6,2,F,신용카드," 90,000 "
2021-03-31-0339-1,2021-03-31,0339,A3,74,F,신용카드," 1,258,000 "
2021-03-31-0338-1,2021-03-31,0338,A3,68,F,신용카드," 1,156,000 "
2021-03-31-0042-1,2021-03-31,0042,A3,57,F,계좌이체," 969,000 "
2021-03-31-0277-1,2021-03-31,0277,A2,20,F,신용카드," 240,000 "
2021-03-31-0055-1,2021-03-31,0055,S2,46,F,계좌이체," 460,000 "
2021-04-01-0004-1,2021-04-01,0004,A4,57,T,신용카드," 285,000 "
2021-04-01-0049-1,2021-04-01,0049,C1,37,T,카카오페이," 925,000 "
2021-04-02-0136-1,2021-04-02,0136,W5,89,F,계좌이체," 356,000 "
2021-04-02-0195-1,2021-04-02,0195,A2,12,F,신용카드," 144,000 "
2021-04-03-0021-1,2021-04-03,0021,W5,11,F,신용카드," 44,000 "
2021-04-03-0052-1,2021-04-03,0052,C2,72,F,신용카드," 1,944,000 "
2021-04-04-0139-1,2021-04-04,0139,W6,2,T,신용카드," 90,000 "
2021-04-04-0005-1,2021-04-04,0005,S4,11,F,신용카드," 385,000 "
2021-04-04-0182-1,2021-04-04,0182,C1,85,F,계좌이체," 2,125,000 "
2021-04-05-0094-1,2021-04-05,0094,S6,30,F,계좌이체," 165,000 "
2021-04-05-0103-1,2021-04-05,0103,S4,9,F,카카오페이," 315,000 "
2021-04-05-0239-1,2021-04-05,0239,W2,5,T,계좌이체," 375,000 "
2021-04-05-0078-1,2021-04-05,0078,S6,39,F,신용카드," 214,500 "
2021-04-06-0078-1,2021-04-06,0078,A1,61,F,신용카드," 305,000 "
2021-04-06-0323-1,2021-04-06,0323,C1,63,F,신용카드," 1,575,000 "
2021-04-06-0375-1,2021-04-06,0375,W1,6,F,신용카드," 360,000 "
2021-04-06-0128-1,2021-04-06,0128,S6,26,F,계좌이체," 143,000 "
2021-04-07-0275-1,2021-04-07,0275,S4,16,T,계좌이체," 560,000 "
2021-04-07-0235-1,2021-04-07,0235,C1,65,T,신용카드," 1,625,000 "
2021-04-07-0043-1,2021-04-07,0043,C2,92,T,신용카드," 2,484,000 "
2021-04-08-0018-1,2021-04-08,0018,S4,18,T,계좌이체," 630,000 "
2021-04-08-0170-1,2021-04-08,0170,S6,17,F,계좌이체," 93,500 "
2021-04-08-0220-1,2021-04-08,0220,A2,82,F,신용카드," 984,000 "
2021-04-08-0208-1,2021-04-08,0208,W5,99,F,신용카드," 396,000 "
2021-04-09-0152-1,2021-04-09,0152,C2,75,T,신용카드," 2,025,000 "
2021-04-09-0128-1,2021-04-09,0128,C1,47,T,신용카드," 1,175,000 "
2021-04-09-0023-1,2021-04-09,0023,A3,84,F,신용카드," 1,428,000 "
2021-04-10-0181-1,2021-04-10,0181,W3,21,T,계좌이체," 1,050,000 "
2021-04-11-0273-1,2021-04-11,0273,W2,3,F,신용카드," 225,000 "
2021-04-12-0196-1,2021-04-12,0196,A4,71,T,신용카드," 355,000 "
2021-04-12-0346-1,2021-04-12,0346,C2,75,F,신용카드," 2,025,000 "
2021-04-12-0225-1,2021-04-12,0225,S3,21,T,계좌이체," 462,000 "
2021-04-12-0113-1,2021-04-12,0113,S2,64,T,계좌이체," 640,000 "
2021-04-12-0276-1,2021-04-12,0276,W2,18,T,신용카드," 1,350,000 "
2021-04-12-0136-1,2021-04-12,0136,A4,42,F,신용카드," 210,000 "
2021-04-12-0155-1,2021-04-12,0155,W3,3,T,계좌이체," 150,000 "
2021-04-13-0176-1,2021-04-13,0176,C2,14,F,신용카드," 378,000 "
2021-04-13-0012-1,2021-04-13,0012,A2,48,F,카카오페이," 576,000 "
2021-04-13-0178-1,2021-04-13,0178,W6,2,F,계좌이체," 90,000 "
2021-04-14-0230-1,2021-04-14,0230,W6,19,T,계좌이체," 855,000 "
2021-04-14-0098-1,2021-04-14,0098,W5,94,F,신용카드," 376,000 "
2021-04-14-0259-1,2021-04-14,0259,W4,12,F,카카오페이," 6,000 "
2021-04-15-0030-1,2021-04-15,0030,A3,55,F,계좌이체," 935,000 "
2021-04-15-0093-1,2021-04-15,0093,A1,27,F,신용카드," 135,000 "
2021-04-15-0372-1,2021-04-15,0372,A3,45,F,계좌이체," 765,000 "
2021-04-16-0261-1,2021-04-16,0261,W4,66,F,신용카드," 33,000 "
2021-04-16-0178-1,2021-04-16,0178,S3,22,T,계좌이체," 484,000 "
2021-04-16-0335-1,2021-04-16,0335,W1,18,T,신용카드," 1,080,000 "
2021-04-17-0296-1,2021-04-17,0296,S3,14,T,계좌이체," 308,000 "
2021-04-17-0254-1,2021-04-17,0254,C2,87,F,계좌이체," 2,349,000 "
2021-04-17-0239-1,2021-04-17,0239,S1,74,T,신용카드," 111,000 "
2021-04-17-0329-1,2021-04-17,0329,A2,90,F,신용카드," 1,080,000 "
2021-04-17-0017-1,2021-04-17,0017,A2,96,F,신용카드," 1,152,000 "
